"Timestamp","Sources","Authors","Content","Opinions","Tags","Link","Classification"
"2015-06-08 08:26:47","Twitter search","Accccel","@OrellanaAxel Jajaja mal que rico desayunar pizza y coca cola, suavechito.","Positive","","http://twitter.com/OrellanaAxel/statuses/607886489184256000","M"
"2015-06-08 08:25:31","Twitter search","Valentín Etchart","que ganas de un vaso gigante de coca cola y un triple mc y ya que estamos unas papas...","Positive","","http://twitter.com/Valenett97/statuses/607886168672358401","M"
"2015-06-08 08:42:27","Twitter search","Laucha ♕","que ganas de un vaso gigante de coca cola y un triple mc y ya que estamos unas papas...","Positive","","http://twitter.com/Lauchaaaaaa_/statuses/607890431951675392","M"
"2015-06-08 08:33:11","Twitter search","∞♡Fati de Igoa♡∞","Vos, yo.. Doritos, coca cola.. No se, pensalo.","Positive","","http://twitter.com/Fatii_Aranda/statuses/607888098723250177","M"
"2015-06-08 09:16:56","Twitter search","Stephany ♪","Adicto a las empanadas y a la coca-cola.","Positive","","http://twitter.com/S_Mapasha_J/statuses/607899110952325120","M"
"2015-06-08 09:06:03","Twitter search","Cindy Fernández","Adicto a las empanadas y a la coca-cola.","Positive","","http://twitter.com/Cindy_CEFC26/statuses/607896370729656320","M"
"2015-06-08 09:27:17","Twitter search","Micaela † ·","Quiero un havanna   una cocacola y unas gomitas mogul #tengohambre","Positive","","http://twitter.com/Micaaa_Paz/statuses/607901712255459328","M"
"2015-06-08 10:21:03","Twitter search","Otto","Patitas de Pollo acompañadas con  Coca Cola es EL almuerzo por excelencia.","Positive","","http://twitter.com/AuguusBer/statuses/607915244854345728","M"
"2015-06-08 10:37:01","Twitter search","#Florencia","naaa te mori, acabo de ver en el frizzer helados coca cola browne torta de coco alfajores de maisena y torta helada, chau comida sana jajaja","Positive","","http://twitter.com/FlorchuPamela/statuses/607919263601410048","M"
"2015-06-08 10:35:13","Twitter search","Andreita","todo el mundo haciendo ejercicio y yo bien saludable desayunando pizza y coca cola 😁❤️","Positive","","http://twitter.com/andreacpagan10/statuses/607918810687897601","M"
"2015-06-08 11:02:07","Twitter search","Abeh☆","que ganas de un vaso gigante de coca cola y un triple mc y ya que estamos unas papas...","Positive","","http://twitter.com/Aaaaabii12/statuses/607925580261130241","M"
"2015-06-08 11:19:31","Twitter search","idalia✌","Pizza y coca-cola😍😍😍","Positive","","http://twitter.com/30_idalia/statuses/607929959479427072","M"
"2015-06-08 11:27:28","Twitter search","Nancy Seal","Hoy quiero ir al cine. En un rato ponele. Con pochoclos y coca cola. Ah no, dieta. CIERTO","Positive","","http://twitter.com/PauDiazGallo/statuses/607931957893328896","M"
"2015-06-08 11:27:17","Twitter search","Valentina Forero","Lunes festivo para estar con alguien, películas dulces doritos y Coca-Cola :(.","Positive","","http://twitter.com/FORERO1818/statuses/607931914721370112","M"
"2015-06-08 11:04:04","Instagram search","《~  ♡Sweet NY Pink♥  ~》","Feliz inicio de semana ♥. #Lunes #Pizza #FelizInicioDeSemana #CocaCola #Desayuno #Deliciosa #Delicioso #SweetNYPink 《~Veru~》","Positive","","https://instagram.com/p/3rCoojLHkB/","M"
"2015-06-08 13:21:50","Twitter search","Sofia.","¿Porque no tengo una Pizza con Coca-Cola aqui a mi lado? ¿Ah? ¿Porquee?","Positive","","http://twitter.com/Asog__/statuses/607960739152830464","M"
"2015-06-08 14:16:40","Twitter search","Peter 35","Almuerzo de hoy Cachapas + Queso + Coca-Cola .... Luego busco el postre","Positive","","http://twitter.com/PeterVal31/statuses/607974540103196673","M"
"2015-06-08 14:22:35","Twitter search","H","El último pan con ensalada de pollo de supermercado de chinos del desierto. Coca Cola  quééé....","Positive","","http://twitter.com/historiadesal/statuses/607976028749717504","M"
"2015-06-08 15:03:55","Twitter search","✘Leilu✘","Cuando estás bajon y tu abuelo te compra un re chocolate, galletitas y coca cola 💕lo amo","Positive","","http://twitter.com/LeeiiSwag/statuses/607986432167297024","M"
"2015-06-08 16:13:35","Twitter search","Kevin","@LaYermanos cerveza también, pero los doritos con coca cola","Positive","","http://twitter.com/_GuarinKevin/statuses/608003961963085824","M"
"2015-06-08 16:15:11","Twitter search","Katherine Constenla","Chocolate + CocaCola, ojalá despertar un poco","Positive","","http://twitter.com/Kathy13_/statuses/608004365438304256","M"
"2015-06-08 16:23:00","Twitter search","∞★Chica_Kawaii★∞",">.> <.< *Coje pizza y una cocacola de su bolsillo y se sienta* :3 Nadie me ve nadie me podrá pedir >:D","Positive","","http://twitter.com/acilana2002/statuses/608006330914373632","M"
"2015-06-08 16:20:51","Twitter search","I m p e r f e c t","Dios castigame con una cocacola bien fría y una porción de pizza. Amen jaja :(","Positive","","http://twitter.com/Complicaad/statuses/608005791304531968","M"
"2015-06-08 17:02:21","Twitter search","Dɑnielɑ.","Dios castigame con una cocacola bien fría y una porción de pizza. Amen jaja :(","Positive","","http://twitter.com/MejiiaDaniiela/statuses/608016234198790144","M"
"2015-06-08 17:08:13","Twitter search","La Consentidaツ","Doritos Con CocaCola 😍😍","Positive","","http://twitter.com/MariaDlhMaduro/statuses/608017710635720705","M"
